group;main_unit_off;main_unit_ps;main_unit_fid
group 7;"ВЛ-6кВ ф-5 ПС 35/6 ""Сусликовская""";Сусликовская;5
group 7;"ВЛ-6кВ ф-6 ПС 35/6 ""Центральная""";Центральная;6
group 7;"ВЛ-6кВ ф-6 ПС 35/6 ""Колек – Ёган """;Колек – Ёган;6
group 7;"ВЛ-6кВ ф-18 ПС 35/6 ""Колек – Ёган """;Колек – Ёган;18
group 7;"ВЛ-6кВ ф-11 ПС 35/6 ""Нефть""";Нефть;11
group 7;"ВЛ-6кВ ф-13 ПС 35/6 ""КСП-2""";КСП-2;13
group 7;"ВЛ-6кВ ф-4 ПС 35/6 ""Малочерногорская""";Малочерногорская;4
group 7;ВЛ-110кВ Кирьяновская - ПП Восточный;;
group 7;"ВЛ-6кВ Ф-4 ПС 35/6 ""К-310""";К-310;4
group 7;ВЛ-110кВ Таврическая - 1, Таврическая - 2;;
group 7;"ВЛ-6кВ Ф-7 ПС 35/6 ""ДНС-2""";ДНС-2;7
group 7;"ВВ-35кВ №1 ПС 35/6 ""КНС-1""";КНС-1;
group 7;ВЛ-110кВ Варьеган - Бахиловская 1,2 цепь;;
group 7;ВЛ-110кВ Варьеган - Бахиловская 1,2 цепь;;
group 7;"ВЛ-6кВ Ф-6,7,8 ПС 35/6 ""К-34""";К-34;
group 7;"ВЛ-6кВ Ф-25 ЗРУ 6кВ ""КСП-2""";КСП-2;25
group 7;"ВЛ-6кВ Ф-4 ПС 35/6кВ ""Водозабор""";Водозабор;4
group 7;ВЛ-110кВ Варьеган - Бахиловская 1-я цепь;;
group 7;"ВЛ-6кВ Ф-18 ПС 35/6кВ ""К-310""";К-310;18
group 7;"ВЛ-6кВ Ф-16 ПС 35/6кВ ""К-40""";К-40;16
group 7;"ВЛ-6кВ Ф-8 ПС 35/6кВ ""К-203""";К-203;8
group 7;"ВЛ-6кВ Ф-4 ПС 35/6кВ ""К-424""";К-424;4
group 7;ВЛ-110 Кирьяновская - ГПП 712;;
group 7;ВЛ-220кВ Северо-Варьеганская- Вынгапур;;
group 7;ВЛ-220кВ Северо-Варьеганская- Вынгапур;;
group 7;"ВЛ-35кВ Ф-2,5 ПС 110/35/6кВ ""Северо-варьеганская""";Северо-варьеганская;
group 7;"ВЛ-6кВ Ф-9 ПС 35/6кВ ""К-210""";К-210;9
group 4;ДГУ;ДГУ;
group 7;"ВВ-6кВ яч№2 ввод№1 ПС 35/6кВ ""Советская""
";Советская;
group 7;ВЛ-220кВ Сибирская-Кварц, Сибирская-Топаз.  ;;
group 7;"ВЛ-6кВ  ф-16  ПС 35/6кВ  ""Южная""  ";Южная;16
group 7;"ВЛ-6кВ  ф-1  ПС 35/6кВ  ""КСП-2""  ";КСП-2;1
group 7;ВЛ 110кВ Варьеган-Бахиловская 1я цепь;;
group 7;ВЛ-220кВ Сибирская-Кварц;;
group 7;"ВЛ-6кВ  ф-6,16  ПС 35/6кВ  ""Кошильская""  ";Кошильская;
group 7;"ВЛ-6кВ Ф-18 ПС 35/6кВ ""К-457""";К-457;18
group 7;"ВЛ-35кВ Ф-4 ПС-110/35/6кВ ""Ермаковская""";Ермаковская;4
group 7;"ПС 110/35/6кВ ""КНС-5"" Ф-4";КНС-5;4
group 7;"ПС 110/35/6кВ ""КНС-5"" Ф-3,4";КНС-5;
group 7;"ВЛ-6кВ ф-6  ПС 35/6кВ  ""К-20""  ";К-20;6
group 7;"ВЛ-6кВ ф-18  ПС 35/6кВ  ""К-310""  ";К-310;18
group 7;ГТЭС Ван-Еганского м/я;ГТЭС Ван-Еганского м/я;
group 7;"ПС 110/35/6кВ ""Ореховская"",
ВЛ-35 кВ Ф-4";Ореховская;4
group 7;"ВЛ-6кВ Ф-16  ПС 35/6кВ  ""К-12""  ";К-12;16
group 7;"ВЛ-6кВ Ф-16 от ПС 35/6кВ  ""К-107""  ";К-107;16
group 7;"ВЛ-6кВ Ф-16,17  ПС 35/6кВ  ""КНС-4А""  ";КНС-4А;
group 7;"ВЛ-6кВ Ф-2  ПС 35/6кВ  ""Пражская""  ";Пражская;2
group 2;1Т;;
group 7;"ВЛ-6кВ Ф-16  ПС 35/6кВ  ""КНС-4А""  ";КНС-4А;16
group 10;"ГПЭС ДНС-2 2х1,25; 7х1,375 
(Тайлаковское м/р)";;
group 4;ВЛ-35 Средний Балык-1,2;;
group 17;ТП-Кл-51-3п Афипского ЭСУ.;;
group 4; Вводной АВ-0,4;;
group 17;ШГН-скв.348.          М-е Восточно-Северское.;;
group 4;ВЛ-6 ф.101МБ, ВЛ-6 ф.121МБ;;
group 16;"ВЛ-6 кВ Ф-17 ПС 35/6 кВ ""Евгеньевская""";Евгеньевская;17
group 17;ВЛ-6 кВ № Бг-363 Абинский ЭСУ.;;
group 4;В-6 ввода №2;;
group 17;"ПС 35/10 кВ Т-5 ""Николаевская"" Хадыженский ЭСУ.";Николаевская;
group 17;ВЛ-6 кВ ф.Ю-2 Абинского ЭСУ.;ю;2
group 17;ВЛ-0,4 кВ ф.2 от ТП-Хл-211-2                          ;211;2
group 17;ВЛ-0,4 кВ ф.2 от ТП-Хл-211-2                          ;211;2
group 17;ВЛ-0,4 кВ ф-2 от ТП-Ну-82-3.;82;2
group 17;"ВЛ-110 кВ НТ-ТВ,
Скв. 1843 Троицкая.";;
group 17;ВЛ-6 кВ Вс-81 Афипский ЭСУ;;
